CPU,NUMERO_ITERACION,LATENCIA
1,2555,30441
1,2556,30997
1,2557,31108
1,2558,31311
1,2559,31034
1,2560,25942
1,2561,28200
1,2562,31219
1,2563,31182
1,2564,30608
1,2565,30682
1,2566,31053
1,2567,31015
1,2568,31182
1,2569,31330
1,2570,27923
1,2571,31089
1,2572,30460
1,2573,30663
1,2574,30627
1,2575,30812
1,2576,31460
1,2577,30997
1,2578,26497
1,2579,27553
1,2580,30960
1,2581,30941
1,2582,31219
1,2583,30719
1,2584,30719
1,2585,30793
1,2586,31275
1,2587,25293
1,2588,28108
1,2589,31442
1,2590,31034
1,2591,30941
1,2592,31145
1,2593,36885
1,2594,30738
1,2595,34497
1,2596,28756
1,2597,25479
1,2598,29311
1,2599,24608
1,2600,26849
1,2601,25385
1,2602,26293
1,2603,24682
1,2604,26830
1,2605,29700
1,2606,26423
1,2607,29830
1,2608,31552
1,2609,30256
1,2610,28312
1,2611,27034
1,2612,26089
1,2613,30311
1,2614,31182
1,2615,32941
1,2616,30923
1,2617,30905
1,2618,31367
1,2619,33182
1,2620,30738
1,2621,30385
1,2622,31016
1,2623,24941
1,2624,28348
1,2625,26849
1,2626,26034
1,2627,30645
1,2628,31812
1,2629,35312
1,2630,30645
1,2631,30719
1,2632,30774
1,2633,31145
1,2634,30922
1,2635,28052
1,2636,30867
1,2637,30923
1,2638,30608
1,2639,30756
1,2640,31701
1,2641,27182
1,2642,30867
1,2643,31460
1,2644,30867
1,2645,31793
1,2646,30571
1,2647,31534
1,2648,30682
1,2649,30682
1,2650,31127
1,2651,30830
1,2652,31274
1,2653,33071
1,2654,27960
1,2655,31274
1,2656,30515
1,2657,30904
1,2658,30756
1,2659,30052
1,2660,27219
1,2661,27441
1,2662,26848
1,2663,27626
1,2664,25516
1,2665,26941
1,2666,25700
1,2667,27163
1,2668,25978
1,2669,26923
1,2670,25404
1,2671,26645
1,2672,25737
1,2673,26497
1,2674,25515
1,2675,26756
1,2676,25423
1,2677,27812
1,2678,26571
1,2679,27497
1,2680,26256
1,2681,26811
1,2682,25923
1,2683,26979
1,2684,25886
1,2685,26794
1,2686,25701
1,2687,27460
1,2688,26219
1,2689,26627
1,2690,25219
1,2691,26589
1,2692,25737
1,2693,27275
1,2694,26275
1,2695,26552
1,2696,25589
1,2697,26774
1,2698,25793
1,2699,26589
1,2700,25737
1,2701,26848
1,2702,25459
1,2703,26645
1,2704,25608
1,2705,27256
1,2706,26237
1,2707,26830
1,2708,25404
1,2709,26700
1,2710,26034
1,2711,27719
1,2712,26164
1,2713,26553
1,2714,25497
1,2715,26405
1,2716,25756
1,2717,27089
1,2718,26293
1,2719,27164
1,2720,25979
1,2721,27479
1,2722,26126
1,2723,27164
1,2724,25997
1,2725,26719
1,2726,25627
1,2727,27608
1,2728,26423
1,2729,27867
1,2730,25886
1,2731,36256
1,2732,27793
1,2733,27756
1,2734,25904
1,2735,27145
1,2736,26108
1,2737,26923
1,2738,25570
1,2739,26960
1,2740,25663
1,2741,27497
1,2742,25904
1,2743,26997
1,2744,25793
1,2745,26830
1,2746,25867
1,2747,26867
1,2748,25589
1,2749,26479
1,2750,25608
1,2751,35571
1,2752,30441
1,2753,26923
1,2754,31145
1,2755,25627
1,2756,30182
1,2757,25849
1,2758,27052
1,2759,26404
1,2760,30367
1,2761,25812
1,2762,29793
1,2763,25719
1,2764,26960
1,2765,26256
1,2766,26793
1,2767,26126
1,2768,31033
1,2769,25830
1,2770,30515
1,2771,34145
1,2772,29163
1,2773,26496
1,2774,27164
1,2775,26089
1,2776,30571
1,2777,25404
1,2778,26757
1,2779,26311
1,2780,27479
1,2781,26534
1,2782,27219
1,2783,26163
1,2784,30404
1,2785,25608
1,2786,26904
1,2787,25756
1,2788,26571
1,2789,26330
1,2790,27331
1,2791,26293
1,2792,26923
1,2793,25756
1,2794,26886
1,2795,25775
1,2796,26719
1,2797,26460
1,2798,27182
1,2799,25701
1,2800,26534
1,2801,25923
1,2802,26849
1,2803,26182
1,2804,27275
1,2805,25794
1,2806,26923
1,2807,25886
1,2808,26960
1,2809,26460
1,2810,27090
1,2811,25719
1,2812,26608
1,2813,25812
1,2814,26793
1,2815,26274
1,2816,26626
1,2817,25645
1,2818,26885
1,2819,25645
1,2820,27034
1,2821,26682
1,2822,26868
1,2823,26034
1,2824,26775
1,2825,25682
1,2826,27367
1,2827,26497
1,2828,27033
1,2829,25756
1,2830,27052
1,2831,26385
1,2832,26867
1,2833,25626
1,2834,26923
1,2835,25885
1,2836,26942
1,2837,25830
1,2838,27256
1,2839,26553
1,2840,27515
1,2841,26330
1,2842,26941
1,2843,26015
1,2844,26904
1,2845,25904
1,2846,26997
1,2847,25904
1,2848,26812
1,2849,26108
1,2850,27496
1,2851,26405
1,2852,26942
1,2853,26349
1,2854,26793
1,2855,25700
1,2856,27126
1,2857,25608
1,2858,27367
1,2859,26274
1,2860,27126
1,2861,25627
1,2862,26942
1,2863,25682
1,2864,27052
1,2865,25886
1,2866,27108
1,2867,25682
1,2868,27423
1,2869,26256
1,2870,26941
1,2871,26071
1,2872,26663
1,2873,25774
1,2874,26923
1,2875,25775
1,2876,26663
1,2877,26330
1,2878,27182
1,2879,25978
1,2880,26812
1,2881,25812
1,2882,27182
1,2883,26182
1,2884,26868
1,2885,25682
1,2886,27219
1,2887,26015
1,2888,26923
1,2889,25942
1,2890,26960
1,2891,25922
1,2892,26608
1,2893,26460
1,2894,26793
1,2895,25775
1,2896,26701
1,2897,25682
1,2898,27294
1,2899,26257
1,2900,26811
1,2901,25757
1,2902,26978
1,2903,25830
1,2904,26644
1,2905,25848
1,2906,26830
1,2907,25534
1,2908,27182
1,2909,25442
1,2910,26737
1,2911,25922
1,2912,26701
1,2913,25478
1,2914,26848
1,2915,25978
1,2916,26867
1,2917,26089
1,2918,26849
1,2919,25959
1,2920,27885
1,2921,31090
1,2922,25793
1,2923,29942
1,2924,25756
1,2925,29997
1,2926,25534
1,2927,30460
1,2928,25496
1,2929,29663
1,2930,25608
1,2931,30071
1,2932,25626
1,2933,26793
1,2934,25978
1,2935,28533
1,2936,25367
1,2937,28997
1,2938,25108
1,2939,29219
1,2940,24812
1,2941,28978
1,2942,24885
1,2943,28922
1,2944,24959
1,2945,28775
1,2946,24886
1,2947,28626
1,2948,25441
1,2949,29701
1,2950,25719
1,2951,26719
1,2952,24960
1,2953,26090
1,2954,24904
1,2955,26034
1,2956,25090
1,2957,26145
1,2958,24904
1,2959,26126
1,2960,25015
1,2961,25905
1,2962,25089
1,2963,26257
1,2964,25701
1,2965,26663
1,2966,24867
1,2967,26090
1,2968,24793
1,2969,25923
1,2970,24941
1,2971,26312
1,2972,24941
1,2973,25979
1,2974,25089
1,2975,26200
1,2976,25015
1,2977,25682
1,2978,24793
1,2979,25811
1,2980,24904
1,2981,26033
1,2982,24775
1,2983,25163
1,2984,25108
1,2985,25978
1,2986,25089
1,2987,26108
1,2988,25126
1,2989,25848
1,2990,25182
1,2991,26422
1,2992,25089
1,2993,25849
1,2994,25015
1,2995,25886
1,2996,25201
1,2997,25885
1,2998,25033
1,2999,25867
1,3000,25071
1,3001,25793
1,3002,24886
1,3003,26145
1,3004,25034
1,3005,25979
1,3006,25089
1,3007,25237
1,3008,25034
1,3009,26108
1,3010,25200
1,3011,26682
1,3012,25515
1,3013,26127
1,3014,25015
1,3015,25849
1,3016,25145
1,3017,26219
1,3018,25053
1,3019,26089
1,3020,24978
1,3021,26386
1,3022,25145
1,3023,26515
1,3024,24960
1,3025,25886
1,3026,25016
1,3027,25905
1,3028,25090
1,3029,26015
1,3030,25071
1,3031,26385
1,3032,25737
1,3033,26311
1,3034,25219
1,3035,26589
1,3036,25274
1,3037,26182
1,3038,24793
1,3039,26182
1,3040,25145
1,3041,26386
1,3042,25311
1,3043,26275
1,3044,24996
1,3045,25979
1,3046,25886
1,3047,26442
1,3048,25071
1,3049,25978
1,3050,25404
1,3051,26608
1,3052,25367
1,3053,26441
1,3054,24922
1,3055,26089
1,3056,25238
1,3057,25979
1,3058,25571
1,3059,29200
1,3060,25238
1,3061,26182
1,3062,25238
1,3063,26015
1,3064,25126
1,3065,26812
1,3066,25868
1,3067,26386
1,3068,24756
1,3069,25959
1,3070,25071
1,3071,26664
1,3072,25515
1,3073,25997
1,3074,25126
1,3075,25904
1,3076,25089
1,3077,25645
1,3078,24942
1,3079,25942
1,3080,25182
1,3081,26089
1,3082,24978
1,3083,25701
1,3084,24830
1,3085,26312
1,3086,25571
1,3087,25941
1,3088,25127
1,3089,25867
1,3090,24978
1,3091,26219
1,3092,25127
1,3093,25682
1,3094,54922
1,3095,26534
1,3096,30238
1,3097,25405
1,3098,25923
1,3099,25793
1,3100,29404
1,3101,24904
1,3102,28941
1,3103,24775
1,3104,25959
1,3105,24997
1,3106,28960
1,3107,26033
1,3108,29367
1,3109,25164
1,3110,26775
1,3111,25237
1,3112,29034
1,3113,24793
1,3114,26145
1,3115,25034
1,3116,29311
1,3117,24960
1,3118,28978
1,3119,25830
1,3120,26089
1,3121,25367
1,3122,25904
1,3123,24923
1,3124,25978
1,3125,24923
1,3126,25959
1,3127,24941
1,3128,25941
1,3129,24719
1,3130,25256
1,3131,25460
1,3132,25145
1,3133,24108
1,3134,26867
1,3135,25627
1,3136,31478
1,3137,31331
1,3138,32034
1,3139,29145
1,3140,30571
1,3141,31330
1,3142,30793
1,3143,30775
1,3144,28682
1,3145,30330
1,3146,29626
1,3147,31256
1,3148,30422
1,3149,31238
1,3150,31256
1,3151,30978
1,3152,30756
1,3153,27738
1,3154,30534
1,3155,30904
1,3156,30885
1,3157,30552
1,3158,28478
1,3159,26108
1,3160,27015
1,3161,25256
1,3162,26848
1,3163,25571
1,3164,26071
1,3165,25571
1,3166,30793
1,3167,31201
1,3168,31071
1,3169,30534
1,3170,27719
1,3171,31312
1,3172,28257
1,3173,25812
1,3174,28460
1,3175,30089
1,3176,30682
1,3177,30793
1,3178,30293
1,3179,27682
1,3180,32089
1,3181,26478
1,3182,25274
1,3183,31071
1,3184,30386
1,3185,30590
1,3186,31367
1,3187,30460
1,3188,30848
1,3189,26922
1,3190,27107
1,3191,26182
1,3192,30330
1,3193,30923
1,3194,30404
1,3195,31052
1,3196,30312
1,3197,26552
1,3198,27237
1,3199,30422
1,3200,28015
1,3201,31293
1,3202,30775
1,3203,31941
1,3204,31607
1,3205,26775
1,3206,27682
1,3207,27978
1,3208,27830
1,3209,30682
1,3210,30330
1,3211,30756
1,3212,30256
1,3213,31033
1,3214,28015
1,3215,26033
1,3216,30589
1,3217,30756
1,3218,30830
1,3219,27553
1,3220,30849
1,3221,30053
1,3222,28367
1,3223,26219
1,3224,30200
1,3225,31664
1,3226,31034
1,3227,25441
1,3228,30571
1,3229,30830
1,3230,28312
1,3231,26626
1,3232,29460
1,3233,30756
1,3234,31089
1,3235,30460
1,3236,31459
1,3237,30978
1,3238,27552
1,3239,26164
1,3240,28071
1,3241,30201
1,3242,30794
1,3243,30552
1,3244,29293
1,3245,31404
1,3246,28886
1,3247,26256
1,3248,29849
1,3249,31201
1,3250,31423
1,3251,35645
1,3252,26182
1,3253,32312
1,3254,30682
1,3255,32534
1,3256,28200
1,3257,35182
1,3258,30589
1,3259,36589
1,3260,30571
1,3261,34608
1,3262,30830
1,3263,28367
1,3264,26145
1,3265,25904
1,3266,30812
1,3267,34775
1,3268,26367
1,3269,27126
1,3270,26182
1,3271,30219
1,3272,25590
1,3273,26812
1,3274,26126
1,3275,27237
1,3276,25904
1,3277,27145
1,3278,25701
1,3279,26904
1,3280,25682
1,3281,27015
1,3282,25886
1,3283,26830
1,3284,25941
1,3285,27737
1,3286,26219
1,3287,26941
1,3288,25682
1,3289,26515
1,3290,26145
1,3291,26775
1,3292,25516
1,3293,26737
1,3294,25885
1,3295,27200
1,3296,25608
1,3297,26534
1,3298,25867
1,3299,27015
1,3300,25756
1,3301,26756
1,3302,26553
1,3303,26997
1,3304,25460
1,3305,26608
1,3306,25386
1,3307,26330
1,3308,25848
1,3309,26812
1,3310,25904
1,3311,26941
1,3312,25978
1,3313,26663
1,3314,25571
1,3315,26700
1,3316,26053
1,3317,27423
1,3318,26349
1,3319,26571
1,3320,26201
1,3321,26645
1,3322,25515
1,3323,26719
1,3324,25923
1,3325,28126
1,3326,26090
1,3327,27812
1,3328,26848
1,3329,27127
1,3330,25849
1,3331,30812
1,3332,30608
1,3333,30645
1,3334,31238
1,3335,30923
1,3336,31219
1,3337,32126
1,3338,26404
1,3339,26886
1,3340,22627
1,3341,30441
1,3342,30589
1,3343,30570
1,3344,30960
1,3345,31127
1,3346,26608
